檔名,緯度,經度,方位角,Roll,Pitch,altitude
248.jpg,23.8631430,120.9383270,111.12,0.97,0.44,301.22
249.jpg,23.8629744,120.9387130,110.95,1.46,-1.48,301.5
250.jpg,23.8627807,120.9391747,113.97,1.24,-1.15,301.27
251.jpg,23.8626156,120.9395877,111.29,1.69,-1.63,300.59
252.jpg,23.8624569,120.9399766,112.15,3.3,-0.84,299.58
253.jpg,23.8622474,120.9403201,134.58,7.7,3.95,298.83
254.jpg,23.8619108,120.9405703,158.25,8.22,2.88,299.82
255.jpg,23.8615880,120.9407426,184.97,5.0,-1.14,302.8
256.jpg,23.8612982,120.9408704,198.9,4.49,-0.04,300.24
257.jpg,23.8610523,120.9409373,211.28,1.23,-0.47,299.91
258.jpg,23.8607769,120.9410021,212.74,2.0,-1.1,300.46
259.jpg,23.8605428,120.9410591,212.33,9.34,0.47,298.4
260.jpg,23.8603040,120.9410252,238.02,3.58,4.92,297.05
261.jpg,23.8601055,120.9408695,251.21,2.3,6.46,297.31
262.jpg,23.8599846,120.9407079,255.14,1.33,4.91,298.18
263.jpg,23.8598892,120.9405276,257.18,-0.43,2.67,297.96
264.jpg,23.8597820,120.9403080,261.39,0.92,6.92,298.94
265.jpg,23.8596885,120.9400724,254.73,-2.61,6.08,299.85
266.jpg,23.8596060,120.9398906,257.86,0.5,2.85,298.2
267.jpg,23.8594883,120.9396573,256.8,1.71,9.17,299.37
268.jpg,23.8593959,120.9394365,255.99,0.97,4.35,300.29
269.jpg,23.8592884,120.9392192,250.09,1.12,6.5,299.72
270.jpg,23.8591938,120.9390208,258.54,2.67,4.26,298.88
271.jpg,23.8590729,120.9387581,255.47,1.02,7.12,299.56
272.jpg,23.8589777,120.9385448,258.71,-1.78,4.68,300.52
273.jpg,23.8588587,120.9383415,254.58,3.0,5.46,297.54
274.jpg,23.8587200,120.9380449,257.6,2.04,5.09,300.18
275.jpg,23.8585839,120.9377615,256.73,2.36,7.4,301.37
276.jpg,23.8584774,120.9375234,258.82,-0.57,4.39,300.53
